probe	qSC_1	qSC_2	aSC_1	aSC_2	TAC_1	TAC_2	gene.symbol								
1415695_at	11.0687	11.1096	11.3414	11.2066	11.7364	11.7544	Psma1								
1415696_at	10.2802	10.2629	10.2468	10.2514	9.5455	9.5131	Sar1a								
1415697_at	7.1239	6.7967	7.7783	7.5516	8.0085	8.2464	G3bp2								
1415698_at	5.3219	4.6919	6.4780	6.0142	5.4760	5.5047	Golm1								
1415699_a_at	9.3628	9.3223	9.7105	9.7439	9.9326	9.9868	Gps1								
1415700_a_at	10.4516	10.2228	10.5155	10.3052	10.2018	10.3401	Ssr3								
1415701_x_at	14.0367	13.9842	14.0684	14.0451	13.9479	14.0644	NA								
1415702_a_at	10.7677	10.8936	10.7776	10.8274	10.7156	10.7247	Ctbp1								
1415703_at	8.2125	7.9548	8.3035	8.4490	8.6841	9.3858	Huwe1								
1415704_a_at	9.9749	9.5899	9.9776	9.7195	10.3533	10.6070	Cdv3								
1415705_at	9.1073	9.4054	9.0196	9.1746	8.7982	8.4047	Smim7								
1415706_at	9.9050	9.8498	9.9781	10.3649	9.7924	9.9721	Copa								
1415707_at	9.1847	9.4373	9.1676	9.4044	8.9816	8.6761	Anapc2								
1415708_at	9.8473	9.7221	9.6758	9.3429	9.3452	9.4236	Tug1								
1415709_s_at	7.5267	7.2842	7.2990	7.9549	7.4380	7.6325	Gbf1								
1415710_at	7.9959	7.9445	8.3052	8.5287	8.4533	8.8088	Cox18								
1415711_at	8.5212	8.3643	8.3239	8.3010	8.3387	8.5232	Arfgef1								
1415712_at	7.9251	7.7471	7.3505	6.7746	7.2650	7.3275	Zranb1								
1415713_a_at	8.2552	8.2370	8.0572	8.3048	8.1530	8.4129	Ddx24								
1415714_a_at	10.4228	10.4666	10.3057	10.4149	10.4951	10.6082	Snrnp27								
1415715_at	7.5302	7.4770	7.3322	7.4781	7.3744	7.4129	Tmem129								
1415716_a_at	14.3086	14.2991	14.3619	14.2164	14.2024	14.1268	NA								
1415717_at	7.9554	7.6668	7.6809	7.7932	7.6073	7.9077	Rnf220								
1415718_at	9.4037	9.1010	9.0463	9.2972	8.9813	8.9176	Sap30l								
1415719_s_at	8.3651	8.1033	8.0548	7.8633	8.4469	8.8344	Armc1								
1415720_s_at	7.6236	7.6717	7.1555	7.4073	7.0614	7.1503	Mad2l1bp								
1415721_a_at	8.6598	8.7734	8.1246	8.3535	8.2583	8.4767	Naa60								
1415722_a_at	9.4226	9.3578	9.0077	9.2935	9.0518	9.3621	Vta1								
1415723_at	10.5462	10.3649	9.7331	9.4102	9.7287	9.9662	NA								
1415724_a_at	9.6453	9.8656	9.8933	10.2515	9.8003	10.2349	Cdc42								
1415725_at	7.9583	7.9836	8.1091	8.1724	8.4615	8.5624	Rrn3								
1415726_at	8.3345	8.2785	8.1918	8.0969	8.1660	8.4596	Ankrd17								
1415727_at	10.6873	10.8495	10.6868	10.6883	10.0621	9.8716	Apoa1bp								
1415728_at	7.1353	7.0388	7.2131	7.3026	7.7479	8.1724	Pabpn1								
1415729_at	8.8239	8.6864	8.5763	8.5606	8.6928	8.7441	Pdpk1								
1415730_at	8.9686	8.7563	8.7417	8.9007	8.3702	8.6836	Cpsf7								
1415731_at	7.5843	7.6657	7.3841	7.2375	7.6682	7.8268	Angel2								
1415732_at	8.1221	8.2739	7.9012	8.1883	7.9001	7.9159	Abhd16a								
1415733_a_at	9.9129	9.9056	9.7657	9.8601	10.4624	10.3971	NA								
1415734_at	10.7388	10.6891	10.3774	10.4787	10.1827	10.2387	Rab7								
1415735_at	10.1167	10.0308	10.4304	10.8259	10.4496	10.8192	Ddb1								
1415736_at	12.5466	12.7113	11.9921	11.6785	11.6368	11.0965	Pfdn5								
1415737_at	8.0671	8.1723	8.0030	7.8919	7.8175	8.2069	Rfk								
1415738_at	8.5922	8.5025	8.5782	8.7007	8.3815	8.5474	Txndc12								
1415739_at	9.3999	9.4916	9.3443	9.5962	9.6391	9.5249	NA								
1415740_at	9.0861	9.3282	9.4347	9.7515	10.0349	10.1306	Psmc5								
1415741_at	10.2009	9.9463	10.3357	10.3514	9.9878	9.9701	Tmem165								
1415742_at	8.0399	7.9339	7.8812	8.0670	8.2965	8.2114	Aup1								
1415743_at	7.3650	7.4331	6.1378	6.9252	7.0296	6.9762	Hdac5								
1415744_at	8.3386	8.2481	8.9789	8.8828	9.7873	9.7990	H2-Ke2								
1415745_a_at	8.9447	9.2047	8.5742	8.7784	8.0329	8.0063	Dscr3								
1415746_at	7.2874	7.3908	7.0463	7.7423	6.7525	7.0376	Cic								
1415747_s_at	9.9592	9.9957	9.4021	9.2165	9.2229	9.2485	Riok3								
1415748_a_at	8.8037	8.8976	8.7493	8.9833	8.9063	8.8757	Dctn5								
1415749_a_at	9.8109	9.6770	9.4998	9.6188	9.2675	9.3342	Rragc								
1415750_at	7.0295	7.0428	7.2078	7.4350	8.0067	8.0508	Tbl3								
1415751_at	10.4922	10.4629	10.1976	10.4181	10.2109	10.5811	Hp1bp3								
1415752_at	10.5002	10.6501	10.2904	10.5537	10.2604	10.2471	BC031181								
1415753_at	9.0687	9.2672	9.0730	9.5019	9.2941	9.4176	Fam108a								
1415754_at	10.0285	10.3279	9.8469	9.9036	10.1579	10.1084	Polr2f								
1415755_a_at	9.2442	9.0579	9.1489	9.4304	9.3832	9.4934	Ube2v1								
1415756_a_at	8.9897	8.9227	8.3468	8.4398	7.7127	7.8630	Snapin								
1415757_at	6.8155	6.6391	6.8759	7.3496	6.7967	7.2529	Gbf1								
1415758_at	8.9485	8.6865	8.7511	8.7889	7.8367	8.5246	Fryl								
1415759_a_at	10.3962	10.4475	10.2988	10.3502	10.3773	10.2817	Lamtor5								
1415760_s_at	11.0129	11.0394	11.3569	11.2472	11.9623	11.9744	Atox1								
1415761_at	10.0057	10.0432	10.1535	10.0941	10.4349	10.4017	Mrpl52								
1415762_x_at	9.8940	9.9520	10.1271	10.1000	10.3031	10.3184	Mrpl52								
1415763_a_at	10.0881	10.0396	9.7639	9.8080	9.8629	9.6460	Tmem234								
1415764_at	10.9084	10.6429	10.4787	10.4095	10.0400	10.3087	NA								
1415765_at	5.6285	5.0736	5.6507	5.8109	5.8304	6.3264	Hnrnpul2								
1415766_at	8.7041	8.6081	8.2964	8.3518	7.5887	7.7233	Sec22b								
1415767_at	9.2031	9.0657	9.2093	9.3783	9.2360	9.6547	Ythdf1								
1415768_a_at	9.2375	8.8492	9.1999	9.3847	8.7466	9.0631	Ube2r2								
1415769_at	8.6016	8.5119	8.5550	8.1574	8.2492	8.4080	Itch								
1415770_at	9.2622	9.3317	9.4883	9.7178	8.4131	8.5612	Wdr6								
1415771_at	10.5860	10.5026	10.2812	10.1300	11.1247	11.7661	Ncl								
1415772_at	8.2567	8.1670	7.9521	7.4653	8.4953	8.6292	Ncl								
1415773_at	7.7468	7.4715	7.6392	7.6475	8.9655	9.6714	Ncl								
1415774_at	7.7673	7.5291	8.2481	8.0012	8.2126	8.2798	Elp2								
1415775_at	10.8512	10.9034	11.3938	11.2328	11.7518	12.1180	Rbbp7								
1415776_at	8.2371	7.6518	8.1971	8.1604	7.3148	7.1467	Aldh3a2								
1415777_at	3.9402	3.7244	4.1286	4.0864	4.0155	3.9664	Pnliprp1								
1415778_at	11.4264	11.4808	11.6830	11.6905	11.4548	11.7104	Morf4l2								
1415779_s_at	13.8590	13.7329	14.0676	14.1202	13.7990	13.7909	Actg1								
1415780_a_at	7.1288	6.7359	8.5257	8.1161	6.2346	6.8922	Armcx2								
1415781_a_at	13.4096	13.4247	13.5509	13.3592	13.5391	13.6256	NA								
1415782_at	12.5476	12.5281	12.6735	12.6240	12.7504	12.9286	Sumo2								
1415783_at	10.7656	10.5813	10.5819	10.1298	10.5737	10.7440	Vps35								
1415784_at	5.7736	4.8849	5.4309	4.6079	5.4861	4.7830	Vps35								
1415785_a_at	10.2535	10.0878	10.4521	10.2849	10.7837	11.2489	Cct8								
1415786_at	3.8783	4.0849	3.9656	3.9341	4.0108	3.8767	Pgc								
1415787_at	7.2619	7.5390	7.7981	8.2049	7.5171	7.9387	Ganab								
1415788_at	8.2553	8.3070	8.2227	8.1250	8.4494	8.8562	NA								
1415789_a_at	6.4087	6.4817	6.3196	6.1335	6.9865	7.2114	NA								
1415790_at	6.8824	6.4794	6.6601	6.2449	6.7730	6.8285	NA								
1415791_at	8.2471	8.0876	8.0807	8.2703	8.5586	9.0220	Rnf34								
1415792_at	8.1366	8.2364	7.9664	8.3688	8.1848	8.1345	Rbck1								
1415793_at	6.4828	6.6784	6.3865	6.8926	7.4355	7.5374	Pnpo								
1415794_a_at	10.3684	10.1927	10.5237	10.4809	9.9641	10.3148	Spin1								
1415795_at	5.6829	5.4825	6.2725	6.3654	6.6615	6.5563	Spin1								
1415796_at	11.3346	11.4911	10.9732	11.3471	11.3229	11.3812	NA								
1415797_at	8.9132	9.0807	8.7680	9.5223	7.6933	8.1312	Ddr1								
1415798_at	6.0624	6.4219	5.9198	7.1874	5.5352	5.7982	Ddr1								
1415799_at	8.6266	8.4411	8.4993	8.6915	8.7848	9.3107	Wbp11								
1415800_at	12.1171	9.8076	13.4833	13.0447	12.7991	13.2105	Gja1								
1415801_at	5.3157	4.4830	7.8279	7.8115	7.0419	8.2710	Gja1								
1415802_at	7.6903	7.1176	10.0030	9.0520	9.2390	7.9615	Slc16a1								
1415803_at	6.5062	6.6322	5.6450	6.3348	5.5927	5.7780	Cx3cl1								
1415804_at	5.3967	5.4250	5.8324	5.2142	5.5409	5.0733	Cx3cl1								
1415805_at	4.3579	4.2191	4.0152	4.2696	4.4634	4.0818	Clps								
1415806_at	8.8064	8.6636	9.1828	9.2165	8.3259	8.0519	Plat								
1415807_s_at	8.2541	8.0663	8.6831	9.1414	9.5291	10.2816	Srsf2								
1415808_at	3.2781	3.1080	3.2316	3.1229	3.2745	3.1149	Tpbpa								
1415809_at	2.8227	2.7288	2.7709	2.5590	2.7847	2.5083	Tpbpa								
1415810_at	6.9134	6.7032	9.1650	8.5994	10.6303	11.1417	Uhrf1								
1415811_at	4.3994	4.3113	6.1320	6.1779	7.7326	8.4370	Uhrf1								
1415812_at	12.9346	12.8785	12.6742	12.8035	12.3451	11.9981	Gsn								
1415813_at	9.8413	9.6018	9.8313	9.7139	9.9131	10.2814	Api5								
1415814_at	8.2575	8.3048	8.2984	8.4071	9.3291	9.2185	Atp6v1b2								
1415815_at	4.0275	4.0283	4.0433	3.9708	3.7818	3.9880	Trim27								
1415816_at	11.1273	11.2440	11.1029	11.2197	11.5444	11.8055	Cct7								
1415817_s_at	9.4181	9.4599	9.6572	9.9349	10.1323	10.6116	Cct7								
1415818_at	7.9955	7.9378	8.9243	9.4151	6.6621	6.1008	Anxa6								
1415819_a_at	9.9440	10.1126	9.8637	10.1169	9.9320	9.8140	Ppp2r1a								
1415820_x_at	9.9876	10.0276	10.3061	10.1806	10.4166	10.6658	Nono								
1415821_at	11.1528	11.1248	10.9248	11.0164	10.2551	10.3414	Nptn								
1415822_at	8.1597	6.9181	9.8184	9.5801	10.7943	11.8936	Scd2								
1415823_at	4.5794	4.6821	5.6157	5.7586	6.5727	7.9135	Scd2								
1415824_at	5.3930	4.2817	7.9663	6.3210	9.0074	8.3688	Scd2								
1415825_s_at	7.2173	7.3112	7.2579	7.9278	7.1007	7.9737	NA								
1415826_at	9.0725	9.0357	9.0603	8.9698	9.3791	9.2786	Atp6v1h								
1415827_a_at	10.5222	10.5028	10.7580	10.7052	10.6774	10.8481	Serp1								
1415828_a_at	8.6748	8.7760	9.4783	9.7094	10.0055	10.1697	Serp1								
1415829_at	9.6113	9.4799	10.5136	9.9492	11.2984	11.8714	Lbr								
1415830_at	7.9161	7.9473	7.6478	7.5807	7.8841	7.9336	Orc5								
1415831_at	9.5282	9.4961	9.9431	10.0157	10.2075	10.3799	Psmd2								
1415832_at	2.3581	2.6203	3.5536	2.3936	2.6130	2.5494	Agtr2								
1415833_x_at	14.4537	14.4727	14.4853	14.4792	14.4667	14.5195	Rps29								
1415834_at	9.2854	9.5207	10.9893	10.5427	10.4631	9.9577	Dusp6								
1415835_at	2.7366	2.7035	2.6899	2.5295	2.6250	2.5169	Prl3b1								
1415836_at	6.3092	5.9484	6.9766	7.4384	6.8510	7.4922	Aldh18a1								
1415837_at	2.6964	2.4804	2.2819	2.6235	2.5875	2.5115	Klk1								
1415838_at	9.5600	9.3325	9.3164	9.1608	8.7181	8.8970	Serinc1								
1415839_a_at	12.4038	12.2844	12.2263	11.8572	12.7250	13.1636	NA								
1415840_at	10.5258	10.3655	10.6837	10.9604	9.2739	9.9263	Elovl5								
1415841_at	9.3476	9.2782	9.4804	9.3465	9.3507	9.2909	Dync1i2								
1415842_at	6.0914	6.1660	6.2894	6.6205	6.3845	6.4834	Mlst8								
1415843_at	4.5296	4.5742	4.3493	4.8529	4.7019	4.8532	Mlst8								
1415844_at	2.9314	2.7679	2.4475	2.6146	2.5148	2.5588	Syt4								
1415845_at	3.2359	3.3317	3.2892	3.4143	3.4592	3.4843	Syt4								
1415846_a_at	2.5985	2.7623	2.6556	2.6242	2.5646	2.5858	Ldhc								
1415847_at	3.3956	3.3723	3.2491	3.3836	3.4960	3.5335	Ldhc								
1415848_at	4.4317	4.4706	4.5500	4.4031	4.4464	4.3538	Prl3d1								
1415849_s_at	10.5030	10.0245	12.3230	11.8325	13.4770	13.6458	Stmn1								
1415850_at	4.3361	3.9994	4.5642	4.8026	6.2186	5.9777	Rasa3								
1415851_a_at	10.6399	10.9996	10.3191	10.6286	11.1791	11.4847	NA								
1415852_at	10.8217	11.1040	10.5066	10.8124	11.2737	11.4776	NA								
1415853_at	7.5542	7.5988	7.4117	7.5894	7.4342	7.2105	Def8								
1415854_at	4.1889	4.0307	3.8738	3.6882	5.2156	4.6568	Kitl								
1415855_at	8.4105	8.0743	7.7438	7.7313	8.9654	9.1682	Kitl								
1415856_at	10.3664	10.1117	9.7733	9.6406	8.2434	6.8635	Emb								
1415857_at	10.1207	9.8378	9.8476	9.9678	8.5350	7.3018	Emb								
1415858_at	9.9894	9.9194	10.2487	10.3756	10.8631	11.1676	Eif3c								
1415859_at	8.6413	8.2764	8.7521	8.5224	9.5035	9.0683	Eif3c								
1415860_at	8.6155	7.9182	10.1485	9.7535	11.9527	12.4433	Kpna2								
1415861_at	4.1160	4.4790	3.9489	5.1118	4.3556	6.4190	Tyrp1								
1415862_at	3.1251	3.7600	3.3738	3.8198	2.8487	4.8034	Tyrp1								
1415863_at	11.6914	11.4659	12.0293	11.7953	11.7854	12.2164	Eif4g2								
1415864_at	6.5629	6.7475	6.4538	6.6703	5.8958	6.9643	Bpgm								
1415865_s_at	7.6407	7.6909	7.4041	7.4632	7.1566	7.4873	Bpgm								
1415866_at	6.5983	6.5974	6.6177	6.8731	6.8873	6.5575	Unc45a								
1415867_at	11.6251	11.5891	11.3160	11.1655	11.5977	11.8583	Cct4								
1415868_at	3.6019	3.9023	3.2105	3.2676	3.2390	3.3558	Cct4								
1415869_a_at	9.6706	9.8575	9.9552	10.0942	10.2807	10.7313	Trim28								
1415870_at	10.4119	10.0476	10.4854	10.4354	9.5603	9.6608	Calu								
1415871_at	11.7676	11.8902	10.6018	10.8550	7.8940	6.6627	Tgfbi								
1415872_at	10.5928	10.3596	10.8763	10.6699	10.9030	11.5170	Hnrnph1								
1415873_a_at	9.5112	9.5518	9.6074	9.7585	9.9139	9.8054	Actr1a								
1415874_at	8.8645	8.7373	7.5108	7.8995	6.7897	7.4296	Spry1								
1415875_at	3.3939	3.2382	3.4265	3.4893	3.6958	3.4506	NA								
1415876_a_at	13.7934	13.7971	13.7972	13.7795	13.9512	13.9502	NA								
1415877_at	5.0226	5.3997	5.4248	4.6819	6.2026	5.4917	Dpysl3								
1415878_at	7.9144	7.7506	8.9210	8.3667	10.1200	10.4973	Rrm1								
1415879_a_at	14.2738	14.2668	14.2465	14.3437	14.3738	14.4716	Rplp2								
1415880_a_at	12.0541	12.0677	11.8074	11.8154	11.2833	11.1605	Lamp1								
1415881_at	9.5356	9.4020	9.1813	9.0844	8.7557	8.6106	Ghitm								
1415882_at	9.4021	9.2816	9.7059	9.5978	10.1777	10.1047	Ghitm								
1415883_a_at	3.2177	3.3466	3.5265	3.5562	3.6250	3.7519	Cela3b								
1415884_at	5.9858	6.2038	6.1878	6.0213	6.0883	5.9698	Cela3b								
1415885_at	3.0405	2.8971	2.7745	3.0229	2.9954	3.1178	Chgb								
1415886_at	5.4387	5.5364	5.1286	5.2957	4.8741	4.5977	Sh2d3c								
1415887_at	9.1592	8.9600	9.2749	9.3150	9.2864	9.7333	Tfg								
1415888_at	10.2559	10.3674	9.9667	10.2672	10.9401	11.1986	Hdgf								
1415889_a_at	9.9076	9.8290	10.7326	10.5168	10.6975	10.9476	Hsp90b1								
1415890_at	11.2008	11.4186	10.9998	11.1945	10.6023	10.4622	Papss1								
1415891_at	9.0560	9.0543	9.4524	9.5857	9.8518	10.0420	Suclg1								
1415892_at	7.9834	7.8877	8.3248	8.3942	9.4608	8.5291	Sgpl1								
1415893_at	3.1251	3.9162	3.6257	3.9248	5.0838	4.3904	Sgpl1								
1415894_at	3.7344	3.7906	4.2931	4.3909	4.9070	4.6312	Enpp2								
1415895_at	9.7960	10.0280	9.7037	9.6676	9.5981	9.3198	NA								
1415896_x_at	8.9661	9.2782	8.8480	8.9334	8.7628	8.6224	NA								
1415897_a_at	11.3547	11.7865	11.4345	10.9091	12.6298	12.9047	Mgst1								
1415898_at	2.7231	2.8500	2.8178	2.7371	2.8852	2.9282	Mgst1								
1415899_at	8.5974	8.0450	10.4606	11.5658	10.9336	10.2135	Junb								
1415900_a_at	3.4011	3.3246	3.2012	3.4383	3.5292	3.8213	Kit								
1415901_at	8.5029	8.5347	8.2980	8.5637	7.1783	7.0943	Plod3								
1415902_at	3.6347	3.6711	3.4086	3.7042	3.3568	3.4234	Aldh7a1								
1415903_at	4.5874	4.7165	4.7263	4.7559	5.0363	4.7758	Slc38a1								
1415904_at	5.2187	6.6330	4.6458	4.9366	8.5200	6.5638	Lpl								
1415905_at	3.0767	3.0767	2.8971	3.0871	3.1294	3.0136	Reg1								
1415906_at	14.3099	14.3331	14.1744	14.1021	13.5626	13.0522	Tmsb4x								
1415907_at	8.6006	8.7799	8.1059	8.5817	7.0996	7.1568	Ccnd3								
1415908_at	9.0280	8.9714	8.9110	9.0124	8.4936	8.6570	Tspyl1								
1415909_at	7.9047	7.9545	8.5014	8.6609	9.2159	9.5987	Stip1								
1415910_s_at	8.4535	8.5852	8.6655	8.8618	9.2934	9.3780	Ciapin1								
1415911_at	8.1739	7.9720	6.3863	6.5966	6.2811	6.6451	Impact								
1415912_a_at	13.3183	13.4126	13.1505	13.2763	13.4059	13.4823	NA								
1415913_at	5.4799	5.4816	5.2676	5.4033	5.1672	5.3122	NA								
1415914_at	11.2640	11.1144	11.8585	11.8739	12.3807	12.8066	Hnrnpab								
1415915_at	9.5383	9.4916	9.7077	9.6586	10.2174	10.7017	Ddx1								
1415916_a_at	9.3571	9.3409	9.3955	9.3823	9.8000	9.9309	Mthfd1								
1415917_at	8.2775	8.1956	8.4106	8.5517	8.9822	9.0946	Mthfd1								
1415918_a_at	10.8325	11.0157	10.9072	11.2135	10.9249	10.5293	Tpi1								
1415919_at	8.9247	8.9816	8.4570	8.8806	7.2210	6.5515	Npdc1								
1415920_at	9.4250	9.4367	9.1664	9.2634	7.9423	8.1764	Cstf2t								
1415921_a_at	3.7749	4.0288	3.7766	3.5021	4.3200	4.3891	Tnfrsf19								
1415922_s_at	10.4385	9.3614	11.7619	11.9090	11.1812	11.5115	Marcksl1								
1415923_at	6.0526	5.5514	6.6167	6.9704	3.4999	3.7044	Ndn								
1415924_at	3.2829	3.0676	3.2546	3.3184	3.2829	3.3266	Tnp1								
1415925_a_at	7.8866	7.9589	8.1989	8.6285	9.1872	9.6187	Nup62								
1415926_at	7.6458	7.6964	7.9077	8.2789	8.6241	9.0248	Nup62								
1415927_at	4.6346	4.4459	4.9141	4.3833	4.2077	4.1630	Actc1								
1415928_a_at	12.2925	12.2974	11.7625	11.9574	11.1587	10.6639	Map1lc3b								
1415929_at	11.2533	11.1715	10.5165	10.9538	9.8742	9.4647	Map1lc3b								
1415930_a_at	11.5573	11.3926	11.2023	11.3022	11.1609	10.5935	Map1lc3b								
1415931_at	3.4321	3.0644	3.1666	3.1632	3.3293	3.2951	Igf2								
1415932_x_at	8.5640	8.6298	8.4089	8.8756	8.1250	7.5727	Atp9a								
1415933_a_at	11.6984	11.6223	12.3151	12.2152	12.8312	12.9442	Cox5a								
1415934_at	8.7810	8.8926	8.5989	8.8606	8.7412	8.8234	Cops8								
1415935_at	9.3362	8.8565	9.4390	9.0616	8.3288	8.8885	Smoc2								
1415936_at	7.8331	7.6078	8.4643	8.8341	6.2212	7.0583	Bcar3								
1415937_s_at	7.2492	7.4111	6.7444	6.6399	5.9238	6.2507	Pdcd6ip								
1415938_at	2.6128	2.8801	2.9794	2.9208	3.1471	2.8029	Spink3								
1415939_at	4.1564	5.9268	4.9591	4.1220	3.8432	3.5021	Fmod								
1415940_at	7.9076	7.8541	7.5973	8.0154	7.3715	7.6363	Zfand2a								
1415941_s_at	7.4069	7.3728	7.1155	7.1710	6.8787	6.9739	Zfand2a								
1415942_at	13.8681	13.9421	13.8999	13.9636	13.9171	13.9793	NA								
1415943_at	12.4934	12.4411	12.8045	13.1001	12.4017	12.4207	Sdc1								
1415944_at	11.6391	11.5731	11.6875	12.0392	11.0653	10.8936	Sdc1								
1415945_at	5.4563	5.2371	7.2886	6.7677	8.9354	9.3066	Mcm5								
1415946_at	8.5168	8.6922	8.0553	8.7193	8.1792	8.3074	Pigq								
1415947_at	8.8935	9.0797	8.7204	8.9137	10.0652	9.2300	Creg1								
1415948_at	9.1345	9.1007	8.3623	8.2725	9.5455	8.2697	Creg1								
1415949_at	11.2351	11.4910	11.0721	10.6146	10.9535	11.1153	Cpe								
1415950_a_at	11.2563	11.2928	11.5312	11.5241	11.6878	11.6972	Pebp1								
1415951_at	6.1737	6.9779	5.9385	6.1380	4.1986	4.0671	Fkbp10								
1415952_at	8.0838	8.1006	8.1182	8.6563	8.5881	8.5455	Mark2								
1415953_s_at	6.0450	6.4821	6.2738	6.4414	6.2130	6.2931	Mark2								
1415954_at	2.5283	2.2831	2.4275	2.4322	2.4275	2.5626	NA								
1415955_x_at	5.8245	5.8040	5.8631	5.7220	5.7589	5.8524	Prm1								
1415956_a_at	6.2289	6.0646	6.6859	7.4414	7.3144	7.5326	Cdk16								
1415957_a_at	6.6446	6.6886	6.4537	7.2286	7.5665	7.5831	Rrp1								
1415958_at	5.3393	5.6662	5.9013	5.7986	5.4667	5.5410	Slc2a4								
1415959_at	5.0290	5.4621	5.2426	5.2123	5.0483	5.2182	Slc2a4								
1415960_at	3.4569	4.1046	3.5507	3.4213	3.2575	3.3695	Mpo								
1415961_at	11.5523	11.2167	11.8190	11.9677	9.5118	9.4912	Itm2c								
1415962_at	12.2182	12.3206	12.1569	12.0331	12.2635	12.1262	Eif3h								
1415963_at	9.5061	9.4558	10.0913	9.7067	10.3225	10.5344	Hnrnph2								
1415964_at	10.2624	11.0530	9.2837	9.1096	10.8817	10.9938	Scd1								
1415965_at	6.3651	7.1404	5.9477	5.7516	8.2073	8.1638	Scd1								
1415966_a_at	10.4690	10.5462	10.6162	10.8392	11.1237	11.1493	Ndufv1								
1415967_at	10.0883	10.1995	10.2764	10.4062	10.7718	10.7356	Ndufv1								
1415968_a_at	4.8037	5.0229	5.2688	5.0719	5.3718	5.2095	Kap								
1415969_s_at	2.7898	2.7800	3.0025	3.0741	2.7557	2.9969	Kap								
1415970_at	12.3949	12.4255	12.6837	12.6235	12.8256	12.8415	NA								
1415971_at	10.0706	9.4212	10.5464	10.6163	10.7110	10.8949	Marcks								
1415972_at	8.6951	7.9176	9.2572	9.3134	9.2757	9.6103	Marcks								
1415973_at	10.0390	9.5164	10.4756	10.3852	10.3283	10.3483	Marcks								
1415974_at	9.0805	9.0130	9.1011	9.4188	9.5901	9.4785	Map2k2								
1415975_at	8.4074	8.1786	8.7014	9.1966	8.0339	7.7947	Carhsp1								
1415976_a_at	6.5912	6.4132	7.2984	7.5523	7.3503	6.9134	Carhsp1								
1415977_at	6.9555	6.8585	7.2411	7.9003	8.1293	8.4145	Isyna1								
1415978_at	3.2765	3.0143	3.0870	2.9967	3.6813	3.9066	Tubb3								
1415979_x_at	14.0222	14.0046	14.0123	13.9335	13.9620	13.8626	Rpl7								
1415980_at	12.1194	12.2794	11.9983	11.9101	12.2652	12.1841	Atp5g2								
1415981_at	9.6033	9.6112	9.3649	9.3052	8.9755	8.9322	Herpud2								
1415982_at	7.8281	7.5844	7.4159	7.7211	7.2481	7.5019	Herpud2								
1415983_at	2.7579	2.6034	2.5999	2.5992	2.7121	2.5827	Lcp1								
1415984_at	10.0332	10.0016	9.5781	9.5398	9.6625	9.4851	Acadm								
1415985_at	9.3458	9.4098	9.5692	9.6452	9.8683	10.3053	Sf3b3								
1415986_at	8.7337	8.7988	8.3343	8.1513	8.4622	8.3400	Clcn4-2								
1415987_at	8.9522	8.7205	8.9708	9.0572	9.1489	9.1889	Hdlbp								
1415988_at	6.8967	6.4804	6.7855	6.5119	7.1855	6.4338	Hdlbp								
1415989_at	4.0222	4.2616	4.3361	4.3473	4.3016	4.3634	Vcam1								
1415990_at	11.2971	11.1704	11.1079	11.1992	11.5916	11.5563	Vdac2								
